last_name, first_name,player_id,year,xwobacon,oz_swing_percent,whiff_percent,swing_percent,class2
Urias, Ramon,602104,2023,0.344,28.3,31.3,48.5,B
Mancini III, Trey,641820,2023,0.344,29.3,30.2,48.1,B
Gomes, Yan,543228,2023,0.344,37.8,24.8,52.7,C
DeJong, Paul,657557,2023,0.343,30.2,34.2,48.9,B
Heyward, Jason,518792,2023,0.343,25.8,21.5,45.1,B
Bethancourt, Christian,542194,2023,0.343,46.6,36.4,59.5,B
Laureano, Ramon,657656,2023,0.342,28.9,29.5,49.1,B
Castro, Willi,650489,2023,0.342,34.7,30.8,52.6,B
Castro, Rodolfo,666801,2023,0.341,26.2,32.2,47.6,B
Turang, Brice,668930,2023,0.341,26.3,26.4,48.2,B
Castro, Harold,605612,2023,0.341,45.2,27,57.6,C
Alvarez, Francisco,682626,2023,0.34,26.1,31,44.1,B
Flores, Wilmer,527038,2023,0.34,27.5,17.2,44.2,D
Madrigal, Nick,663611,2023,0.34,28.3,10.8,45.7,D
McCarthy, Jake,664983,2023,0.34,28.8,18.9,51.8,D
Fortes, Nick,663743,2023,0.34,23,16.7,42.6,E
Pham, Tommy,502054,2023,0.339,19.6,23,40,B
Greene, Riley,682985,2023,0.339,27.6,26.7,46.7,B
Ibanez, Andy,628451,2023,0.339,35.1,22.8,52.9,C
Neto, Zach,687263,2023,0.339,23.5,24.2,47.5,B
Rojas, Josh,668942,2023,0.339,27.9,24.2,44,B
Taylor, Michael A.,572191,2023,0.338,31.8,35.2,48.7,B
Sheets, Gavin,657757,2023,0.338,29.9,22.6,46.5,B
Noda, Ryan,676116,2023,0.337,18.1,36.9,41.7,B
Smith, Pavin,656976,2023,0.337,23.3,20.3,40.5,B
Baty, Brett,683146,2023,0.337,24.5,30,45,B
Cabrera, Oswaldo,665828,2023,0.337,28.8,22.7,50.3,B
Maton, Nick,665155,2023,0.336,25.6,32.2,44.3,B
Suwinski, Jack,669261,2023,0.336,16.1,30.2,36.8,B
Marcano, Tucupita,672779,2023,0.336,27,15.1,50.3,D
Meyers, Jake,676694,2023,0.336,25.5,27.5,47.1,B
Kepler, Max,596146,2023,0.336,25.3,21.2,46.6,B
Yastrzemski, Mike,573262,2023,0.335,18,22.5,40.2,B
Burger, Jake,669394,2023,0.335,41.4,35.4,55.4,B
Grichuk, Randal,545341,2023,0.335,33.2,28.2,49.3,C
Harper, Bryce,547180,2023,0.335,33,34.1,51.9,B
Senzel, Nick,669222,2023,0.335,24.8,22.5,49.2,B
Garcia, Maikel,672580,2023,0.334,17.9,18.3,42.5,E
Haase, Eric,606992,2023,0.334,35.7,31.2,53.1,B
Burleson, Alec,676475,2023,0.333,33.4,15.8,50,D
Solano, Donovan,456781,2023,0.332,27.1,23.1,44.6,B
Duran, Jarren,680776,2023,0.331,28.3,26,50,B
Alvarez, Yordan,670541,2023,0.33,26.1,23.5,43.9,B
Kiner-Falefa, Isiah,643396,2023,0.33,29.4,18,48,D
Muncy, Max,571970,2023,0.329,23.4,33,37.3,B
Diaz, Aledmys,649557,2023,0.329,35.7,22.6,52.6,C
Henderson, Gunnar,683002,2023,0.328,24.2,30.4,42.5,B
Nootbaar, Lars,663457,2023,0.328,17.8,20.5,36.6,B
Outman, James,681546,2023,0.328,25,39.3,46.3,B
Marsh, Brandon,669016,2023,0.327,25.7,27,42.6,B
Joe, Connor,656582,2023,0.327,18.1,25.6,37.7,B
Jimenez, Eloy,650391,2023,0.327,40.6,34.2,53.6,B
Walls, Taylor,670764,2023,0.327,17.7,24.5,43.4,B
Rooker Jr., Brent,667670,2023,0.326,25.6,39.9,46.1,B
Kiermaier, Kevin,595281,2023,0.326,27.4,29.2,48.9,B
Bellinger, Cody,641355,2023,0.326,28.6,22.7,48,B
Grossman, Robbie,543257,2023,0.325,16.8,21.5,38.8,A
Rojas, Miguel,500743,2023,0.325,37.9,18.6,51.7,A
Moreno, Gabriel,672515,2023,0.325,25.1,22.3,41.9,A
Bae, Ji Hwan,678225,2023,0.325,33.1,25.6,49.7,A
Andrus, Elvis,462101,2023,0.325,27.3,21.9,43.3,A
Buxton, Byron,621439,2023,0.325,29.3,29.5,50.8,A
Julks, Corey,667452,2023,0.325,30.9,26.5,45.3,A
Murphy, Sean,669221,2023,0.324,23.6,27.1,47.2,A
Duran, Ezequiel,677649,2023,0.324,38.3,29.5,54,A
Rengifo, Luis,650859,2023,0.323,27.2,25.6,49.2,A
Kirk, Alejandro,672386,2023,0.323,27.8,14.6,43.9,A
Cooper, Garrett,643265,2023,0.323,38.5,30.3,51.5,A
Casas, Triston,671213,2023,0.323,23.6,27.5,44.5,A
Bryant, Kris,592178,2023,0.323,25.6,24,46.4,A
Margot, Manuel,622534,2023,0.323,27.5,23,48.3,A
Gurriel, Yuli,493329,2023,0.323,31,15.1,46.2,A
Newman, Kevin,621028,2023,0.322,26.9,15,46.5,A
Gorman, Nolan,669357,2023,0.322,26.5,33.3,47.7,A
Peralta, David,444482,2023,0.322,29.5,20.9,52.6,A
Mateo, Jorge,622761,2023,0.321,37.1,29.8,52.4,A
Harris II, Michael,671739,2023,0.321,36.9,25.2,52.7,A
Suzuki, Seiya,673548,2023,0.321,18.7,21,38.6,A
Canha, Mark,592192,2023,0.321,23.1,20.2,40,A
Conforto, Michael,624424,2023,0.32,23.8,25.8,44.3,A
Perdomo, Geraldo,672695,2023,0.32,16.9,14.5,39.2,A
Wiemer Jr., Joey,686894,2023,0.32,28.1,34.2,46.6,A
Langeliers, Shea,669127,2023,0.319,32.1,31.6,51.3,A
Vierling, Matt,663837,2023,0.319,28.8,16.5,44.6,A
Call, Alex,669743,2023,0.319,21.7,18.8,40.9,A
Seager, Corey,608369,2023,0.319,24,23.9,51.8,A
Peterson, Jace,607054,2023,0.319,22.6,22.5,42.6,A
Grisham, Trent,663757,2023,0.318,24.2,30.8,43.8,A
Fraley, Jake,641584,2023,0.318,28.1,22.5,50.8,A
Grandal, Yasmani,518735,2023,0.318,29.8,25.8,46.6,A
Ramirez, Harold,623912,2023,0.317,42.9,30.2,55.4,A
Lowe, Josh,666139,2023,0.316,37.3,33,54.3,A
Mullins II, Cedric,656775,2023,0.316,23,24.3,46.8,A
Arcia, Orlando,606115,2023,0.316,27.3,24.6,46.5,A
Raleigh, Cal,663728,2023,0.315,30.6,28,49.9,A
Berti, Jon,542932,2023,0.315,20.5,20,45.1,A
Kelenic, Jarred,672284,2023,0.315,28.2,33.8,46.6,A
Olivares, Edward,658668,2023,0.314,31.5,22.1,50.6,A
Miller, Owen,680911,2023,0.313,30.5,17.3,47,A
Urshela, Gio,570482,2023,0.313,37,18.8,54.8,A
Blackmon, Charlie,453568,2023,0.312,27,20,47.4,A
Friedl Jr., TJ,670770,2023,0.311,22.1,19,39.9,A
Anderson, Brian,605119,2023,0.311,26.4,32.8,47.6,A
Mountcastle, Ryan,663624,2023,0.309,41.4,29.3,57.7,A
McKinstry, Zach,656716,2023,0.308,26.3,19.6,46.9,A
Martinez, J.D.,502110,2023,0.308,32.5,34.6,53.5,A
Contreras, William,661388,2023,0.307,24.2,26.5,42,A
Ozuna, Marcell,542303,2023,0.307,28.1,28,48.9,A
Kemp, Tony,643393,2023,0.307,22.1,13.6,45.9,A
Davis, J.D.,605204,2023,0.307,25.4,33,52,A
Smith, Will,669257,2023,0.306,21.3,18.1,41.6,A
Brennan, Will,686823,2023,0.305,38.4,20.2,56.9,A
Wade Jr., LaMonte,664774,2023,0.305,16.2,20.4,37.3,A
Tellez, Rowdy,642133,2023,0.305,24.9,20.5,38.3,A
Segura, Jean,516416,2023,0.304,37.5,20.2,50.9,A
Rosario, Eddie,592696,2023,0.302,41.9,28.8,57.5,A
