last_name, first_name,player_id,year,xwobacon,oz_swing_percent,whiff_percent,swing_percent,class1,class2
Moya, Steven,570615,2016,0.442,42.2,32.9,58,16,B
Miller, Brad,543543,2019,0.441,24.5,30.6,45.7,8,B
Thompson, Trayce,572204,2015,0.441,25.6,27,42.7,7,B
Adames, Willy,642715,2020,0.441,26.3,38.7,46.2,8,B
Haase, Eric,606992,2021,0.441,29,34.7,48.1,12,B
Longoria, Evan,446334,2016,0.441,32.5,26.1,48.5,15,C
Smith, Will,669257,2020,0.437,15.3,15.5,38.2,1,E
Choo, Shin-Soo,425783,2016,0.44,22.8,22.6,38.7,2,B
Freeman, Freddie,518692,2022,0.44,27.3,19.5,49.3,5,D
Sanchez, Gary,596142,2020,0.44,29.2,34,43.7,12,B
Moreland, Mitch,519048,2015,0.44,29.7,25.7,47,11,B
Ozuna, Marcell,542303,2017,0.44,30,26.9,49.6,11,B
Moss, Brandon,461235,2015,0.44,30.9,29.6,49.3,12,B
Aguilar, Jesus,542583,2018,0.44,33.8,28.7,45.5,15,C
Naquin, Tyler,571980,2020,0.44,35.7,30.8,57.2,16,B
Braun, Ryan,460075,2015,0.44,35.8,22.9,50.3,14,C
Tellez, Rowdy,642133,2019,0.44,37.2,31.3,49.1,16,B
Springer III, George,543807,2015,0.439,20.9,32.6,45.6,4,B
Duda, Lucas,446263,2017,0.439,24,26.7,40.2,7,B
Moore, Dylan,664238,2020,0.439,25.4,27,41.8,7,B
Cruz, Oneil,665833,2022,0.439,30.5,35.4,40.5,12,B
Cruz Jr., Nelson,443558,2021,0.439,31,30.7,51,12,B
Bart, Joey,663698,2022,0.439,31,38,47.2,12,B
Cespedes, Yoenis,493316,2016,0.439,33,24.7,47,15,C
Mondesi, Adalberto,609275,2018,0.439,34.2,33.3,56.7,16,B
Gonzalez, Erik,570481,2017,0.439,37.8,35.5,55,16,B
Rogers, Jake,668670,2021,0.438,22.4,37.6,44.6,4,B
Freese, David,501896,2018,0.438,22.8,24.3,42.8,2,B
Donaldson, Josh,518626,2016,0.438,23.4,24.1,41.7,2,B
Reynolds, Bryan,668804,2021,0.438,24.8,23.9,48.9,6,B
Gamel, Ben,592325,2020,0.438,25.1,28.6,42.3,7,B
Souza Jr., Steven,519306,2016,0.438,27.5,33.7,49.8,8,B
Jeffers, Ryan,680777,2021,0.438,28.1,34.2,46.3,12,B
Goldschmidt, Paul,502671,2019,0.438,28.4,26.3,46.5,11,B
Haniger, Mitch,571745,2021,0.438,29.2,29.8,46.6,12,B
Alonso, Pete,624413,2021,0.438,30.8,24.9,49.3,11,B
Pence, Hunter,452254,2015,0.438,32.3,29.5,45.5,12,B
Pence, Hunter,452254,2019,0.438,34.6,31.5,51.3,16,B
Abreu, Jose,547989,2019,0.438,34.7,25.3,49.5,15,C
Dahl, David,621311,2019,0.438,34.7,30.9,52.1,16,B
Burger, Jake,669394,2022,0.438,36.6,35.4,53.8,16,B
Kemp, Matt,461314,2016,0.438,38.2,29.4,54.9,16,B
Alfaro, Jorge,595751,2022,0.438,46,38,62.6,16,B
Frazier, Clint,640449,2020,0.437,14.4,31.7,35.3,4,B
Cronenworth, Jake,630105,2020,0.435,19,16.7,39.8,1,E
Rodriguez, Alex,121347,2015,0.437,24.3,32,43.9,8,B
Conforto, Michael,624424,2019,0.437,25.1,27,45.8,7,B
Lowe, Nathaniel,663993,2019,0.437,25.1,27.2,44.7,7,B
Davidson, Matt,571602,2018,0.437,25.1,33.7,45.2,8,B
Larnach, Trevor,663616,2022,0.437,25.1,40.2,41.6,8,B
Smoak, Justin,475253,2015,0.437,26.5,29.4,42.6,8,B
Moreland, Mitch,519048,2017,0.437,27.3,25.8,46.4,7,B
Zimmerman, Ryan,475582,2015,0.437,27.5,21.5,41.2,6,B
Cabrera, Miguel,408234,2017,0.437,30.3,23.1,50.3,10,B
Soler, Jorge,624585,2015,0.437,30.3,33.8,47.6,12,B
Jimenez, Eloy,650391,2022,0.437,32.2,30.3,49.8,12,B
Raburn, Ryan,430605,2015,0.436,17.5,24.7,42.7,3,B
Encarnacion, Edwin,429665,2017,0.436,20.9,25.4,43,3,B
Olson, Matt,621566,2018,0.436,21,27.5,44.4,3,B
Calhoun, Kole,594777,2020,0.436,21.6,32.7,46.8,4,B
Haniger, Mitch,571745,2018,0.436,22.5,23.3,41.8,2,B
Thames, Eric,519346,2017,0.436,23.7,31.5,43.2,4,B
Lewis, Kyle,641786,2020,0.436,24.6,36.3,43.2,8,B
Pederson, Joc,592626,2016,0.436,25.5,26.4,41.7,7,B
Contreras, Willson,575929,2021,0.436,26.9,34.5,45.1,8,B
Morales, Kendrys,434778,2018,0.436,28.6,27.2,43.6,11,B
Alford, Anthony,546990,2021,0.436,28.9,37.9,47.9,12,B
Beckham, Tim,542921,2017,0.436,30.3,30.8,50.6,12,B
Hall, Darick,669742,2022,0.436,32.6,33.7,52.5,16,B
Healy, Ryon,592387,2016,0.436,33.8,22,44.5,14,C
Cooper, Garrett,643265,2019,0.436,34.6,23.4,48.4,14,C
Aquino, Aristides,606157,2019,0.436,38.9,35.5,55.7,16,B
Vogelbach, Daniel,596129,2018,0.435,18.9,23.6,34.9,2,B
Votto, Joey,458015,2017,0.417,13.2,15.4,41.9,1,E
Pederson, Joc,592626,2015,0.435,24.8,35.9,42.5,8,B
Marisnick, Jake,545350,2017,0.435,30.2,36.2,50.6,12,B
Moran, Colin,592567,2020,0.435,35.6,28,49.9,15,C
Rivera, Rene,425784,2017,0.435,37.5,33.5,55.3,16,B
Nimmo, Brandon,607043,2017,0.434,13.6,24.4,36.9,2,B
Robinson, Drew,592685,2018,0.434,15.5,39,36.9,4,B
Iannetta, Chris,455104,2019,0.434,16.3,34.6,43,4,B
Yastrzemski, Mike,573262,2020,0.434,19.7,24.7,39.1,3,B
Choo, Shin-Soo,425783,2019,0.434,20.4,29.2,42.4,4,B
Zimmer, Bradley,605548,2021,0.434,23.8,36.2,44.8,4,B
Soler, Jorge,624585,2018,0.434,25.9,36.3,43.8,8,B
Yastrzemski, Mike,573262,2019,0.434,27.4,27.3,47.6,7,B
Laureano, Ramon,657656,2019,0.434,29.8,28.3,48.8,11,B
Colabello, Chris,499624,2015,0.434,31.4,31.2,50.2,12,B
Duvall, Adam,594807,2016,0.434,32.7,27.8,49.7,15,C
Braun, Ryan,460075,2018,0.434,33,22.7,51.5,14,C
Garcia, Avisail,541645,2017,0.434,37.7,29.3,58.9,16,B
Gomez, Carlos,460576,2017,0.434,38.8,29.9,56.2,16,B
Adams, Matt,571431,2017,0.434,39,28.9,54,15,C
Encarnacion, Edwin,429665,2016,0.433,21.4,23.6,42.4,2,B
