last_name, first_name,player_id,year,wobacon,oz_swing_percent,whiff_percent,swing_percent,f_strike_percent,class
Conforto, Michael,624424,2016,0.371,27.2,23.5,44,57.2,A
Frazier, Adam,624428,2016,0.368,29.1,19,50.4,64.4,E
Puig, Yasiel,624577,2016,0.366,29.9,28.2,52,61.4,H
Soler, Jorge,624585,2016,0.392,24,32.4,45.1,63.6,C
Heredia, Guillermo,628338,2016,0.291,18,15.1,39.8,67.3,B
Kang, Jung Ho,628356,2016,0.423,22.5,23.7,40.7,60,A
Tomas, Yasmany,630111,2016,0.439,39.9,30.6,57.6,71.2,G
Anderson, Tim,641313,2016,0.423,33.6,30.4,50.6,67.5,G
Benintendi, Andrew,643217,2016,0.422,22.9,20.5,43.2,61.9,A
Kemp, Tony,643393,2016,0.293,25.8,14.7,45.2,61.8,B
White, Tyler,643603,2016,0.335,30.9,24.1,42.7,55.8,F
Diaz, Aledmys,649557,2016,0.394,25.1,17.5,45.2,58,A
Park, ByungHo,666560,2016,0.389,24.4,35.4,45.8,52.5,C
Beltre, Adrian,134181,2017,0.409,29.4,18.7,46.8,60.2,E
Beltran, Carlos,136860,2017,0.325,32.5,19.8,47.9,63.3,F
Werth, Jayson,150029,2017,0.355,20.4,21.9,38.6,61.1,B
Suzuki, Ichiro,400085,2017,0.306,27.3,17.6,46,54.9,B
Martinez, Victor,400121,2017,0.315,26,16,46.7,58.9,B
Utley, Chase,400284,2017,0.325,18.1,14.1,38.3,60.6,B
Pujols, Albert,405395,2017,0.311,32,20.6,47.1,55.6,F
Holliday, Matt,407812,2017,0.389,25.7,28.9,44.4,60,C
Mauer, Joe,408045,2017,0.363,19.1,12.8,36.6,57.2,B
Cabrera, Miguel,408234,2017,0.354,30.3,23.1,50.3,61.1,F
Gonzalez, Adrian,408236,2017,0.304,28.6,24.4,50.4,58.6,F
Phillips, Brandon,408252,2017,0.34,39.4,20.2,56.3,64.7,F
Reyes, Jose,408314,2017,0.325,29.6,17.7,45.2,61.5,F
Mathis, Jeff,425772,2017,0.337,29.9,33,52.3,68.5,H
Choo, Shin-Soo,425783,2017,0.377,20.5,22.9,42.1,58.3,A
Rivera, Rene,425784,2017,0.419,37.5,33.5,55.3,65.3,G
Molina, Yadier,425877,2017,0.345,33.2,18.7,52.7,63.6,F
Cano, Robinson,429664,2017,0.358,30.8,17.8,52,60.3,F
Encarnacion, Edwin,429665,2017,0.411,20.9,25.4,43,52.8,C
Hardy, J.J.,429666,2017,0.281,24.3,18.3,39.5,64.2,B
Weeks Jr., Rickie,430001,2017,0.474,23.1,46.4,43.8,57.1,C
Bautista, Jose,430832,2017,0.329,22.7,28.4,41,56.3,D
Jones, Adam,430945,2017,0.387,41.5,24.4,58.4,59.2,E
Aybar, Erick,430947,2017,0.295,30.6,16.4,47.8,68,F
Martin, Russell,431145,2017,0.349,17,23.5,40.1,63,B
Blanco, Andres,433217,2017,0.272,30.5,30.1,53.5,65.3,H
Granderson, Curtis,434158,2017,0.372,19.8,19.2,38.4,57.5,A
Ruiz, Carlos,434563,2017,0.339,17.2,20.3,36.7,58.6,B
Davis, Rajai,434658,2017,0.326,29.9,24.4,50.7,64.2,F
Ramirez, Hanley,434670,2017,0.366,28.1,25.6,48,62.5,D
Morales, Kendrys,434778,2017,0.378,32.2,29,49.6,59.8,G
Kendrick III, Howie,435062,2017,0.426,31.5,21.5,48,62.6,E
Napoli, Mike,435063,2017,0.409,25.3,34.5,43.2,53.8,C
Kinsler, Ian,435079,2017,0.321,25,15.5,44.5,61.6,B
McCann, Brian,435263,2017,0.333,27.4,17,43.2,54.2,B
Walker, Neil,435522,2017,0.367,23.6,20.6,41.8,57.5,B
Suzuki, Kurt,435559,2017,0.393,37.2,17.3,52.9,56.3,E
Desmond, Ian,435622,2017,0.367,26.6,27.5,47.6,60.9,D
Cruz Jr., Nelson,443558,2017,0.457,27.8,30.5,47.2,59.9,C
Jaso, John,444379,2017,0.341,19.8,25,45.5,59,D
Trumbo, Mark,444432,2017,0.36,31.3,29.9,49.6,62.4,H
Peralta, David,444482,2017,0.377,28.8,21.8,48.6,59.7,E
Pina, Manny,444489,2017,0.386,30.2,23.5,50.5,59.3,E
Escobar, Alcides,444876,2017,0.308,35.5,20.4,53.9,64.8,F
Jay, Jon,445055,2017,0.362,32.4,20.5,51.8,65,F
Prado, Martin,445988,2017,0.303,22.1,14.2,37.3,62.6,B
Duda, Lucas,446263,2017,0.427,24,26.7,40.2,54.3,C
Wieters, Matt,446308,2017,0.305,26.6,20.8,49.2,55.6,B
Longoria, Evan,446334,2017,0.342,32.2,20.9,49.8,63,F
Cozart, Zack,446359,2017,0.422,21.6,16,40.9,60.9,A
Barney, Darwin,446381,2017,0.293,33.3,17.3,50.2,60.2,F
Guyer, Brandon,446386,2017,0.319,19.1,24,43.2,58.3,B
Rodriguez, Sean,446481,2017,0.34,28.7,38.7,50.1,68,H
Lobaton, Jose,446653,2017,0.248,24.3,25,48.5,58.6,D
Reynolds, Mark,448602,2017,0.47,22.6,34.2,44.6,57.5,C
Davis, Chris,448801,2017,0.455,27.4,35.2,42.9,62.1,C
Zobrist, Ben,450314,2017,0.302,21.4,13.6,39.7,60.2,B
Fowler, Dexter,451594,2017,0.406,20.6,22.3,43.2,57.2,A
Flowers, Tyler,452095,2017,0.409,24.7,25.6,47.8,61.8,C
Headley, Chase,452104,2017,0.381,24.2,26,44.4,59.7,C
Drew, Stephen,452220,2017,0.32,23.4,21.5,40.2,45.3,B
Smith, Seth,452234,2017,0.379,25,20.6,40.9,55.9,A
Lind, Adam,452252,2017,0.405,30.8,18,45.1,56.9,E
Pence, Hunter,452254,2017,0.341,28.2,26.9,44.8,60.6,D
Span, Denard,452655,2017,0.34,23.4,11.7,44.1,56.5,B
Hanigan, Ryan,452672,2017,0.35,22.7,22.2,44.3,58.2,B
Cabrera, Asdrubal,452678,2017,0.36,25.4,18.9,47,58.6,B
Ellsbury, Jacoby,453056,2017,0.341,20,18.1,43.2,61.4,B
Tulowitzki, Troy,453064,2017,0.316,28.9,18,45.5,64.6,F
Blackmon, Charlie,453568,2017,0.487,27.4,18.9,46.4,57.9,A
Blanco, Gregor,453923,2017,0.346,17.1,21.4,40.1,59.4,B
Frazier, Todd,453943,2017,0.355,22.3,25.7,40.4,55.8,D
Ellis, A.J.,454560,2017,0.304,18.8,19.3,42.1,52.8,B
Iannetta, Chris,455104,2017,0.462,19.9,26.9,44.3,61.1,C
Maldonado, Martin,455117,2017,0.341,32.2,26.7,49.6,66.2,H
Chirinos, Robinson,455139,2017,0.448,25.5,32.2,43.6,56.6,C
Stewart, Chris,455755,2017,0.209,16.6,15.4,41.3,56.9,B
Young, Chris,455759,2017,0.335,20.1,20,39.3,62.7,B
Markakis, Nick,455976,2017,0.342,23.3,15.6,40.7,57,B
Pedroia, Dustin,456030,2017,0.328,21.9,11.1,41.5,55.9,B
Castillo, Welington,456078,2017,0.448,25.4,24.6,43.3,61.6,A
Nunez, Eduardo,456488,2017,0.369,37.7,16.4,53.2,62.1,E
Pearce, Steve,456665,2017,0.364,23.9,21.4,47.4,61.7,B
Cain, Lorenzo,456715,2017,0.376,26.4,19.8,49.3,64,A
McCutchen, Andrew,457705,2017,0.399,20.6,21.2,44.9,58.4,A
Jackson, Austin,457706,2017,0.43,21.3,21.8,42.3,58.8,A
Upton, Justin,457708,2017,0.496,24,30.5,44.4,58.9,C
Maybin, Cameron,457727,2017,0.326,18.2,23.2,37.5,59.6,B
Turner, Justin,457759,2017,0.401,21.6,15.7,43.8,56.4,A
Posey III, Buster,457763,2017,0.378,23.4,15.9,44.2,53,A
Espinosa, Danny,457787,2017,0.318,30.8,40.8,53.1,60.5,H
Bruce, Jay,457803,2017,0.418,29.5,27.6,49.8,60,G
Votto, Joey,458015,2017,0.434,13.2,15.4,41.9,56.8,A
Rasmus, Colby,458675,2017,0.557,35.2,38.5,54.8,57.4,G
Gardner, Brett,458731,2017,0.364,21.7,15.4,36.3,52.3,B
Young Jr., Eric,458913,2017,0.4,22.1,29.6,51.4,59.2,C
Saunders, Michael,459431,2017,0.305,26.8,23.7,47.9,51.1,B
Joyce, Matt,459964,2017,0.384,19,24.9,42.3,54.4,C
Hundley, Nick,460026,2017,0.382,30.1,27.2,52.8,60.3,G
Pennington, Cliff,460060,2017,0.343,27.4,24.4,45.2,64.5,B
Braun, Ryan,460075,2017,0.388,34.2,22,51.9,65.6,E
Butera, Drew,460077,2017,0.31,25.4,21.3,45.7,56.5,B
Gordon, Alex,460086,2017,0.297,25.3,23,47.4,59.4,B
Gimenez, Chris,460269,2017,0.372,25.2,27.9,42.2,57.8,C
Gomez, Carlos,460576,2017,0.447,38.8,29.9,56.2,68.5,G
Moss, Brandon,461235,2017,0.403,27.6,35.6,48.3,59.9,C
Kemp, Matt,461314,2017,0.4,35.2,29.8,54.8,65,G
Plouffe, Trevor,461858,2017,0.314,26.5,24.7,44.9,68.5,B
Romine, Andrew,461865,2017,0.303,32.3,23.2,53.4,65.2,F
Andrus, Elvis,462101,2017,0.381,31.8,19.5,47.3,62.7,E
Cervelli, Francisco,465041,2017,0.345,19.1,23.8,41.3,58.9,B
Cabrera, Melky,466320,2017,0.337,30.9,13.4,46.2,58.6,F
Sandoval, Pablo,467055,2017,0.305,41,23.5,57.7,67.7,F
Ramos, Wilson,467092,2017,0.352,36.8,21.1,56,68.8,F
Santana, Carlos,467793,2017,0.356,19.7,19.4,40,54.4,B
Parra, Gerardo,467827,2017,0.378,35.1,19.3,52,63.1,E
Montero, Miguel,471083,2017,0.313,25.6,22.4,46.7,62.4,B
Gonzalez, Carlos,471865,2017,0.379,32,31.9,50,55,G
Valbuena, Luis,472528,2017,0.366,23.5,28.6,44.2,53.9,D
Mercer, Jordy,474568,2017,0.336,23.8,15.6,41.9,55.6,B
Belt, Brandon,474832,2017,0.402,20.3,24.5,45.9,55.7,A
Carter, Chris,474892,2017,0.397,26.9,40.5,47.8,60.6,C
Alonso, Yonder,475174,2017,0.432,26,26.1,47.2,53,C
Smoak, Justin,475253,2017,0.427,24,23.5,43,56.6,A
Zimmerman, Ryan,475582,2017,0.474,29.2,24.4,44.3,57.4,E
Lowrie, Jed,476704,2017,0.367,22.1,18.7,48.2,61,B
Carrera, Ezequiel,485567,2017,0.397,22.2,22.4,39.6,60.3,A
Avila, Alex,488671,2017,0.482,12.3,36.4,36.8,61.2,C
Bourjos, Peter,488721,2017,0.35,30,28.6,49,64.5,H
Brantley Jr., Michael,488726,2017,0.364,21.4,12.9,44.1,61.1,B
Castro, Jason,488771,2017,0.379,19.2,30.6,44.7,57.6,C
Escobar, Yunel,488862,2017,0.333,23.8,19.8,46.9,57.7,B
Moore, Tyler,489138,2017,0.365,33.2,29.5,51,65.5,H
Morrison, Logan,489149,2017,0.44,25.1,28.8,46,57.9,C
Rosales, Adam,489267,2017,0.365,26.9,35.6,48,63,D
Hernandez, Gorkys,491676,2017,0.322,26.3,24.9,47.7,61.6,D
Sucre, Jesus,491696,2017,0.34,32,24.1,47.9,58.3,F
Aoki, Norichika,493114,2017,0.322,24.9,14.4,46.2,61,B
Cespedes, Yoenis,493316,2017,0.434,32.7,21,48.9,61.3,E
Gurriel, Yuli,493329,2017,0.369,30.5,17.6,48.3,62.2,E
Solarte, Yangervis,500208,2017,0.322,33.5,15.9,51.5,63.5,F
Rojas, Miguel,500743,2017,0.32,32.9,13.5,49.1,62.2,F
Escobar, Eduardo,500871,2017,0.37,34.8,22.4,52.4,62.4,E
Martinez, Jose,500874,2017,0.441,24.3,20.7,41.5,60.1,A
Adrianza, Ehire,501303,2017,0.311,22.2,10.5,43.9,61.8,B
Lagares, Juan,501571,2017,0.333,31.3,21.7,47.2,64.3,F
Almonte, Abraham,501659,2017,0.341,26.1,26.6,47.5,63.1,D
Freese, David,501896,2017,0.366,24.1,23.2,43.4,61.2,B
Davis, Khris,501981,2017,0.478,21.8,33.7,47.2,58,C
Pham, Tommy,502054,2017,0.466,16.2,20.9,37.9,58.3,A
Chisenhall, Lonnie,502082,2017,0.432,32.3,23,50.8,54.9,E
Presley, Alex,502100,2017,0.39,23.4,18.3,47.3,60.8,A
Martinez, J.D.,502110,2017,0.571,27.3,31.2,51.4,63.9,C
Valencia, Danny,502143,2017,0.375,26.6,29.9,42.8,56,C
Reddick, Josh,502210,2017,0.385,27.6,15.6,44.1,55.6,A
Gentry, Craig,502226,2017,0.352,22.7,21.7,45.1,60.7,B
Dyson, Jarrod,502481,2017,0.302,25.2,13.6,44.4,63.6,B
Murphy, Daniel,502517,2017,0.421,30.6,13.7,47.1,55,E
Goldschmidt, Paul,502671,2017,0.48,23,26.5,40.9,59.7,C
Gonzalez, Marwin,503556,2017,0.443,26.6,20.2,42.4,56.7,A
Amarista, Alexi,506560,2017,0.323,36.5,19.3,51.1,59.1,F
Leon, Sandy,506702,2017,0.331,29.4,21.3,45.4,56.7,F
Altuve, Jose,514888,2017,0.435,31.9,16.8,47.8,67.2,E
Tejada, Ruben,514913,2017,0.254,23.9,14.9,49.3,61.3,B
Hernandez, Cesar,514917,2017,0.379,20.4,20.6,41.1,57.5,A
Segura, Jean,516416,2017,0.366,31.9,15.8,49.4,59.8,F
Castro, Starlin,516770,2017,0.4,32.5,23.2,49.9,60.8,E
Marte, Starling,516782,2017,0.347,31.9,22.6,50.3,67.3,F
Sanchez, Hector,516949,2017,0.377,30.1,29.4,52.3,59.2,G
Pirela, Jose,517369,2017,0.418,30.4,26.1,46.9,62.2,G
Blash, Jabari,518466,2017,0.387,18.5,40.6,44.8,57.9,C
d'Arnaud, Travis,518595,2017,0.341,31.1,23.9,52.2,64.5,F
Descalso, Daniel,518614,2017,0.351,16.9,23.4,40.6,57,B
Dietrich, Derek,518618,2017,0.366,28.6,19.8,46.5,56.2,F
Donaldson, Josh,518626,2017,0.464,20.5,27.5,42.2,55.8,C
Freeman, Freddie,518692,2017,0.47,29,24.9,52.9,59.2,G
Grandal, Yasmani,518735,2017,0.413,30.4,27.7,46.8,57.3,G
Heyward, Jason,518792,2017,0.322,26.3,16.4,46.5,61.2,B
LeMahieu, DJ,518934,2017,0.357,22.3,12.6,41.7,59.2,B
Lucroy, Jonathan,518960,2017,0.304,22.6,10.6,41.8,61.4,B
Mesoraco, Devin,519023,2017,0.34,32.1,25.8,48.4,61.8,H
Moreland, Mitch,519048,2017,0.371,27.3,25.8,46.4,54,C
Moustakas, Mike,519058,2017,0.392,39,20.9,55.7,58.8,E
Norris, Derek,519083,2017,0.32,25.3,26.7,49.4,61.6,D
Revere, Ben,519184,2017,0.288,25,9.3,43.9,59.1,B
Rizzo, Anthony,519203,2017,0.382,27.9,18.2,46.5,56.7,A
Romine, Austin,519222,2017,0.285,32.4,26.3,49.2,64.3,H
Rupp, Cameron,519237,2017,0.426,26.3,37.2,45.5,62.5,C
Sogard, Eric,519299,2017,0.325,19.9,10.9,36,55.2,B
Souza Jr., Steven,519306,2017,0.439,21.4,31.9,44.1,60.5,C
Stanton, Giancarlo,519317,2017,0.512,24.4,31.8,42.9,53.7,C
Szczur, Matt,519333,2017,0.313,21.9,20.4,44.2,62,B
Thames, Eric,519346,2017,0.483,23.7,31.5,43.2,55.5,C
Vogt, Stephen,519390,2017,0.339,32,17.8,44.6,60.6,F
Galvis, Freddy,520471,2017,0.326,32,17.6,48.9,58.5,F
Perez, Salvador,521692,2017,0.392,46,20.9,58.8,63.6,E
Forsythe, Logan,523253,2017,0.328,12.7,23.1,32.4,57.3,B
Flores, Wilmer,527038,2017,0.369,31.2,16.4,51.7,61,E
Marte, Jefry,527043,2017,0.271,21.8,29,43.8,63.4,D
Nava, Daniel,537953,2017,0.382,19.1,17.7,41.3,57.5,A
Garcia, Avisail,541645,2017,0.448,37.7,29.3,58.9,63,G
Perez, Hernan,541650,2017,0.343,39.3,22.8,52.6,65.3,F
Inciarte, Ender,542255,2017,0.352,35.8,14.3,53.1,64.5,F
Ozuna, Marcell,542303,2017,0.468,30,26.9,49.6,63.2,G
Villar, Jonathan,542340,2017,0.383,28.1,29.8,48.6,61.9,C
Santana, Danny,542454,2017,0.308,36,27.4,56.2,64,H
Telis, Tomas,542513,2017,0.271,27.7,10.4,43.2,52.3,B
Aguilar, Jesus,542583,2017,0.475,29.7,33.3,46.5,57.6,G
Bandy, Jett,542908,2017,0.334,38.3,26.1,51.4,61.2,H
Beckham, Tim,542921,2017,0.446,30.3,30.8,50.6,62.3,G
Broxton, Keon,542979,2017,0.458,23.1,40.9,46.1,65.2,C
Crawford, Brandon,543063,2017,0.346,28.8,27.9,51.4,59.2,H
Cron, C.J.,543068,2017,0.394,35,27,52.4,64.5,G
Gomes, Yan,543228,2017,0.369,34.7,27.3,52.5,64.5,G
Grossman, Robbie,543257,2017,0.331,15.8,17.4,38.5,55.9,B
Harrison, Josh,543281,2017,0.361,33,21.7,53,62.1,F
Herrmann, Chris,543302,2017,0.309,22,28.4,43.5,57.8,D
Hicks, Aaron,543305,2017,0.389,20.2,26.4,39.4,55.4,C
Hicks, John,543308,2017,0.416,35.8,34,58.3,65.3,G
Hosmer, Eric,543333,2017,0.414,26.9,21.6,47.1,58.4,A
Joseph, Caleb,543376,2017,0.393,31.3,26.4,49.4,64.7,G
Kipnis, Jason,543401,2017,0.335,27.2,21.1,46.2,59.2,B
Mahtook, Mikie,543484,2017,0.394,26.7,20.8,43.2,63.1,A
McCann, James,543510,2017,0.371,32.4,24,50.3,61.6,E
Miller, Brad,543543,2017,0.328,25.7,31.3,45.8,59.7,D
Rendon, Anthony,543685,2017,0.41,18.8,14.2,40.5,57.4,A
Semien, Marcus,543760,2017,0.358,23.9,25.4,44.8,58,D
Shaw, Travis,543768,2017,0.436,27.6,21.1,45.3,53,A
Springer III, George,543807,2017,0.417,22.3,23.3,44.7,56.8,A
Strange-Gordon, Dee,543829,2017,0.34,36,14.1,54.2,65.1,F
Vazquez, Christian,543877,2017,0.367,28.6,17.7,44.4,58.8,F
Wong, Kolten,543939,2017,0.352,26.5,18.9,46.3,59.4,B
Gregorius, Didi,544369,2017,0.364,37.9,21.8,58.4,62.3,F
Garcia, Leury,544725,2017,0.376,34,22.6,55.7,66.3,E
Franklin, Nick,545338,2017,0.245,19,23.1,41.8,56.3,B
Grichuk, Randal,545341,2017,0.431,30.5,29.6,51.2,64.3,G
Marisnick, Jake,545350,2017,0.499,30.2,36.2,50.6,66.4,G
Trout, Mike,545361,2017,0.491,18.8,18.2,37.7,60.7,A
Herrera, Odubel,546318,2017,0.403,38.1,26.6,53.3,63.5,G
Almora Jr., Albert,546991,2017,0.379,35.4,24.4,52,69,E
Ruiz, Rio,547004,2017,0.282,26.9,27.2,49,60.1,D
Delmonico, Nicky,547170,2017,0.398,18.4,25,45.9,54.2,C
Wolters, Tony,547172,2017,0.297,23.3,19.6,43.9,56.1,B
Harper, Bryce,547180,2017,0.493,30.6,26.8,49.2,54.9,G
Perez, Roberto,547379,2017,0.357,20.6,25.2,39.8,59.3,D
Kim, Hyun Soo,547957,2017,0.283,19,18.5,42.3,53.4,B
Martin, Leonys,547982,2017,0.256,28.2,26.6,51.2,65.7,D
Abreu, Jose,547989,2017,0.438,30.5,22.5,48.2,57.7,E
Diaz, Elias,553869,2017,0.284,24.1,19,51.6,59,B
Narvaez, Omar,553882,2017,0.323,20.4,14.8,43.5,57.6,B
Machado, Dixon,553988,2017,0.303,20.8,21.4,40.8,58,B
Suarez, Eugenio,553993,2017,0.41,21.5,24.4,42.2,59.5,A
Polanco, Gregory,570256,2017,0.32,30.2,19.1,50.1,62.3,F
Santana, Domingo,570267,2017,0.49,24.2,32.2,46.3,62.3,C
Gonzalez, Erik,570481,2017,0.42,37.8,35.5,55,67.8,G
Urshela, Gio,570482,2017,0.256,40,16.6,54.1,63.6,F
Alcantara, Arismendy,570489,2017,0.278,35.4,34.3,51.3,61.1,H
Sanchez, Yolmer,570560,2017,0.367,33.2,23.6,50.3,65.7,F
Schoop, Jonathan,570731,2017,0.426,33,28.1,52.4,61.3,G
Adams, Matt,571431,2017,0.44,39,28.9,54,65.4,G
Altherr, Aaron,571437,2017,0.451,25.5,29.9,44.4,63,C
Arenado, Nolan,571448,2017,0.444,28.1,23.3,48.2,57.9,A
Barnhart, Tucker,571466,2017,0.345,23.7,19,47.9,61.4,B
Bour, Justin,571506,2017,0.453,30.2,28.1,44.7,56,G
Davidson, Matt,571602,2017,0.452,29.7,36.3,48.4,61.4,G
Fuentes, Rey,571681,2017,0.327,32.7,28.1,50,64.1,H
Gennett, Scooter,571697,2017,0.455,31.8,21.5,49.3,60.6,E
Goodwin, Brian,571718,2017,0.42,23.5,25.4,41.4,54.9,C
Hamilton, Billy,571740,2017,0.32,26.7,19.2,46.4,63,B
Haniger, Mitch,571745,2017,0.431,23.2,22.7,42.1,62.7,A
Hernandez, Enrique,571771,2017,0.355,24.7,25.4,47,61.6,D
Holt, Brock,571788,2017,0.247,20.5,15.1,37.8,57.3,B
Joseph, Tommy,571830,2017,0.376,34.4,26.6,49.6,61.5,G
Kelly, Ty,571841,2017,0.293,18.1,22.4,38.2,57.1,B
Lamb, Jake,571875,2017,0.419,20.4,23.8,39.8,56.9,A
Maile, Luke,571912,2017,0.215,32.6,22.1,48.2,53.7,F
Marrero, Deven,571918,2017,0.35,29.3,28.2,47.3,63.3,H
Myers, Wil,571976,2017,0.422,25.3,25.8,44.2,58.6,C
Owings, Chris,572008,2017,0.387,38.1,22.9,56.1,64.5,E
Phegley, Josh,572033,2017,0.27,35.7,22.7,50.4,68.9,F
Piscotty, Stephen,572039,2017,0.336,26.1,24.2,47.1,63.7,B
Pollock, AJ,572041,2017,0.368,25.3,18.8,42.4,59.1,A
Rickard, Joey,572073,2017,0.327,31.3,23.8,46.6,65.3,F
Schimpf, Ryan,572114,2017,0.402,18.8,27,38.5,57.9,C
Seager, Kyle,572122,2017,0.355,23.6,20.9,42.9,56.1,B
Taylor, Michael A.,572191,2017,0.477,30.2,33.1,49.6,63.5,G
Voit III, Luke,572228,2017,0.387,27.4,28.5,51.9,62.9,C
Zunino, Mike,572287,2017,0.533,29.4,38.3,49.5,61.6,G
Goins, Ryan,572365,2017,0.321,29.1,21,44.9,58.8,F
Adams, Lane,572669,2017,0.465,27,38.6,49.1,66.4,C
Carpenter, Matt,572761,2017,0.379,14.2,19.5,34.6,56.4,A
Dickerson, Corey,572816,2017,0.433,42.7,28.6,58.7,62.2,G
Dozier, Brian,572821,2017,0.413,25.7,24.6,41.7,57.6,A
Garneau, Dustin,572863,2017,0.309,29.8,30.4,52.9,67.5,H
Saladino, Tyler,573135,2017,0.237,22.6,24.3,42.4,64.1,B
Vargas, Kennys,573627,2017,0.426,26.9,30.3,45.4,59.8,C
Contreras, Willson,575929,2017,0.433,29.4,30,48,60.3,G
Gyorko, Jedd,576397,2017,0.404,28.3,25.5,48,60.3,C
Iglesias, Jose,578428,2017,0.307,34.8,15.2,46.9,62.4,F
Travis, Devon,581527,2017,0.362,28.5,18.6,47.4,54.8,F
Hechavarria, Adeiny,588751,2017,0.349,41.8,24.3,57.9,69.8,F
Torreyes, Ronald,591720,2017,0.326,40,15.5,59.3,69.9,F
Osuna, Jose,591741,2017,0.335,33,21.4,50.5,61.2,F
Garcia, Willy,591994,2017,0.367,26.8,31,43.8,55.5,D
Bryant, Kris,592178,2017,0.445,24.3,24.1,45.4,57.9,A
Canha, Mark,592192,2017,0.359,34.8,25.8,50,57.2,H
Castellanos, Nick,592206,2017,0.408,31.8,26.8,51.2,63.9,G
Cowart, Kaleb,592230,2017,0.35,25.8,29.7,47.9,60.3,D
DeShields, Delino,592261,2017,0.376,19,22.6,40.2,64.5,A
Drury, Brandon,592273,2017,0.387,28.1,23.6,45.4,62.8,A
Gamel, Ben,592325,2017,0.379,26.6,20.9,44.7,59.6,A
Healy, Ryon,592387,2017,0.401,33.6,26.8,47.6,58.2,G
Jones, JaCoby,592444,2017,0.343,30.2,39.2,48.6,68.8,H
Judge, Aaron,592450,2017,0.6,22.8,34.9,41.1,57.5,C
Machado, Manny,592518,2017,0.366,29.6,21.9,49,59.4,F
Parker, Jarrett,592620,2017,0.41,20.8,28.8,45.1,58.2,C
Pederson, Joc,592626,2017,0.34,23.3,23.8,43.6,51.4,B
Realmuto, J.T.,592663,2017,0.38,28.4,19.2,48.3,61.6,A
Renfroe, Hunter,592669,2017,0.42,31.9,33.1,48.1,61,G
Robinson, Drew,592685,2017,0.453,20.5,29.2,46.4,66.1,C
Rosario, Eddie,592696,2017,0.407,36.8,24,55.4,59.5,E
Rutledge, Josh,592710,2017,0.295,29.1,24.2,43.1,72,F
Simmons, Andrelton,592743,2017,0.328,26.7,13.5,46.3,64.6,B
Toles, Andrew,592808,2017,0.367,34.1,17.6,52.1,55.9,F
Yelich, Christian,592885,2017,0.389,23.1,22.1,42.5,52.4,A
Merrifield, Whit,593160,2017,0.365,32.2,17.5,50.8,61.7,F
Bogaerts, Xander,593428,2017,0.357,29.1,20.8,41.9,62.5,F
Bonifacio, Jorge,593528,2017,0.415,25.7,30.7,52.6,62.1,C
Hanson, Alen,593700,2017,0.308,30.1,25.2,51.1,55.6,H
Polanco, Jorge,593871,2017,0.328,24.2,14.4,43.9,59.7,B
Sano, Miguel,593934,2017,0.539,26,39.5,48.6,61.6,C
Difo, Wilmer,594694,2017,0.347,34.8,25.2,53.1,62.8,H
Calhoun, Kole,594777,2017,0.345,28.9,25.7,47.9,60,H
Duvall, Adam,594807,2017,0.414,31.4,26,48.1,63.8,G
Eaton, Adam,594809,2017,0.392,24.1,20.5,42.9,51.4,A
Garcia, Greg,594824,2017,0.338,14.2,19.7,39.9,56.9,B
Gattis, Evan,594828,2017,0.357,33.4,22,49.2,60.9,F
Schebler, Scott,594988,2017,0.396,32.8,29.2,52.7,58.3,G
Brugman, Jaycob,595144,2017,0.352,24.9,22.8,43.3,60.9,B
Kiermaier, Kevin,595281,2017,0.411,29,26.2,48.5,59.7,G
Knapp, Andrew,595284,2017,0.388,19.6,27.5,42.2,58,C
Riddle, JT,595375,2017,0.32,32,22.5,52.6,62.4,F
Alfaro, Jorge,595751,2017,0.506,42.2,37.2,61.9,64,G
Baez, Javier,595879,2017,0.451,42.9,36.2,56.5,61.5,G
Bird, Greg,595885,2017,0.345,16.9,30.5,42.9,63.5,D
Hedges, Austin,595978,2017,0.368,35.8,32,53.1,62,G
Lindor, Francisco,596019,2017,0.376,28.9,15.3,47.4,58.8,E
Odor, Rougned,596059,2017,0.337,37.2,25.9,52.9,60.3,H
Slater, Austin,596103,2017,0.386,26.7,26.9,47,63.8,C
Story, Trevor,596115,2017,0.464,26.8,31.4,48.2,63.8,C
Sanchez, Gary,596142,2017,0.446,32.5,28.5,47.9,55.7,G
Cuthbert, Cheslor,596144,2017,0.32,29.7,29.9,52.1,59.5,H
Kepler, Max,596146,2017,0.356,26.8,22.2,43.3,56.2,B
Franco, Maikel,596748,2017,0.316,28.5,22.3,50.3,63.8,F
Bradley Jr., Jackie,598265,2017,0.364,26,29.6,47.1,54.6,D
Motter, Taylor,600301,2017,0.288,23.8,20.9,44.7,64.6,B
La Stella, Tommy,600303,2017,0.366,20.1,14.5,44.5,51.3,B
Candelario, Jeimer,600869,2017,0.392,25.9,28.6,45,60.6,C
Ahmed, Nick,605113,2017,0.367,34.9,28.4,52.3,68,H
Barnes, Austin,605131,2017,0.404,13.8,14.4,36.4,55.3,A
Bell, Josh,605137,2017,0.378,24.1,23.5,43.6,55.3,A
Betts, Mookie,605141,2017,0.342,19.3,15.7,35.9,57.3,B
Fisher, Derek,605233,2017,0.378,17.8,31.7,39.7,54.8,C
Panik, Joe,605412,2017,0.33,23.2,11.1,43.3,58.1,B
Smith, Mallex,605480,2017,0.35,28.3,28.3,49.7,63.1,D
