last_name, first_name,player_id,year,wobacon,oz_swing_percent,whiff_percent,swing_percent,f_strike_percent,class
Jaso, John,444379,2015,0.399,22.7,23.7,44.7,55.6,A
Trumbo, Mark,444432,2015,0.408,36.1,30.9,51.5,60.7,G
Peralta, David,444482,2015,0.453,31.2,24.4,47.6,62.9,E
Ethier, Andre,444843,2015,0.406,29.9,19.9,47.9,58.4,E
Escobar, Alcides,444876,2015,0.282,35.4,18,52,68.4,F
Jay, Jon,445055,2015,0.242,32.1,14.7,48.1,64.1,F
Prado, Martin,445988,2015,0.335,25.4,11.5,39.5,63.3,B
Duda, Lucas,446263,2015,0.434,27.3,24.9,41.8,51.3,C
Wieters, Matt,446308,2015,0.393,33.3,25.4,46.8,57.8,G
Longoria, Evan,446334,2015,0.379,29.4,23.7,46.8,59.1,E
Cozart, Zack,446359,2015,0.352,29.3,14.8,47.8,59.3,F
Guyer, Brandon,446386,2015,0.354,32.6,22.5,53,64.2,F
Rodriguez, Sean,446481,2015,0.363,35,29,54.5,65,H
Lobaton, Jose,446653,2015,0.294,25.9,30.8,46.1,58.7,D
Reynolds, Mark,448602,2015,0.389,27.2,31.6,46.3,58.3,C
Ruggiano, Justin,448605,2015,0.454,25.6,35.1,47.1,63.1,C
Davis, Chris,448801,2015,0.539,28.7,35.6,47.3,62.1,G
Aviles, Mike,449107,2015,0.272,27.7,14.3,45,60.6,B
Orlando, Paulo,449181,2015,0.374,36.5,23.7,53.8,68.9,E
Corporan, Carlos,449786,2015,0.316,37.5,29.8,52.8,62.8,H
Zobrist, Ben,450314,2015,0.348,21.4,12.5,36.8,54.8,B
Peterson, Shane,451089,2015,0.36,26.2,25.4,45.9,58.2,D
Fowler, Dexter,451594,2015,0.377,19,21.8,41.6,59,A
Flowers, Tyler,452095,2015,0.372,27.7,30.6,50.1,69,C
Headley, Chase,452104,2015,0.349,22.7,21.2,42.9,57.5,B
Drew, Stephen,452220,2015,0.301,23.2,15.7,41.4,57.7,B
Smith, Seth,452234,2015,0.385,23.9,27,40,55.5,C
Maxwell, Justin,452239,2015,0.336,29.9,32.3,49.9,58.4,H
Lind, Adam,452252,2015,0.39,32.2,21.2,44.4,54.5,E
Pence, Hunter,452254,2015,0.418,32.3,29.5,45.5,59.6,G
Span, Denard,452655,2015,0.349,25.5,10.9,41.8,56,B
Hanigan, Ryan,452672,2015,0.318,20.3,17,42.4,70.5,B
Cabrera, Asdrubal,452678,2015,0.371,37.4,22.9,54,65,E
Ellsbury, Jacoby,453056,2015,0.318,28.1,17.3,48.3,63.1,B
Tulowitzki, Troy,453064,2015,0.399,28.6,23,44.9,57.9,E
Robinson, Shane,453203,2015,0.292,30.4,15.5,48.5,64,F
Stubbs, Drew,453211,2015,0.476,16.2,39.7,40.6,58.6,C
Johnson, Chris,453400,2015,0.366,33.6,32.4,49.7,59.6,H
Fuld, Sam,453539,2015,0.257,21.4,15.4,36.8,56.3,B
Blackmon, Charlie,453568,2015,0.382,27.6,15.7,42.8,57.8,A
Ryan, Brendan,453895,2015,0.344,34.7,30.1,48.7,63.1,H
Blanco, Gregor,453923,2015,0.365,23.2,17.9,44.5,58.3,B
Frazier, Todd,453943,2015,0.404,34.9,24.7,52.9,60.3,E
Ellis, A.J.,454560,2015,0.346,13.7,16.7,35.4,56.7,B
Iannetta, Chris,455104,2015,0.315,18.5,31.7,42.8,61.5,D
Maldonado, Martin,455117,2015,0.299,20.8,24.4,40,59.8,B
Chirinos, Robinson,455139,2015,0.382,25.5,21.8,43.1,60.8,A
Stewart, Chris,455755,2015,0.33,28.9,16.4,43.4,68.6,F
Young, Chris,455759,2015,0.386,25.4,21.4,45.8,59.6,A
Markakis, Nick,455976,2015,0.336,25.6,11.6,41.6,56,B
Pedroia, Dustin,456030,2015,0.36,25.3,13,43.2,56.5,B
Castillo, Welington,456078,2015,0.393,26.4,25.3,43.8,62.2,C
Denorfia, Chris,456121,2015,0.373,31.1,27.4,47.4,63.2,G
Bourn, Michael,456422,2015,0.299,21.6,25.1,42.1,61.8,D
Nunez, Eduardo,456488,2015,0.359,33.1,15.1,49.5,65.2,F
Pearce, Steve,456665,2015,0.353,25.3,22.4,47.4,57.2,B
Butler, Billy,456714,2015,0.335,28.9,18.8,44.7,62.2,F
Cain, Lorenzo,456715,2015,0.404,32.6,19,49.4,59.9,E
Saltalamacchia, Jarrod,457454,2015,0.424,26.1,33.4,45.6,60.8,C
De Aza, Alejandro,457477,2015,0.389,30.2,22.5,48.1,57,E
McCutchen, Andrew,457705,2015,0.426,21.6,26.1,43.3,55.6,C
Jackson, Austin,457706,2015,0.376,24.7,22.1,44.3,61.7,A
Upton, Justin,457708,2015,0.419,22.7,31.8,44.4,58,C
Maybin, Cameron,457727,2015,0.342,25.7,20.4,43.6,60.7,B
Turner, Justin,457759,2015,0.406,24.5,17.8,46.3,58.8,A
Posey III, Buster,457763,2015,0.369,27,13.3,47.2,59.2,A
Jennings, Desmond,457775,2015,0.312,22.3,18.9,44.3,59.3,B
Espinosa, Danny,457787,2015,0.385,37,27.8,54.5,63.8,G
Bruce, Jay,457803,2015,0.365,31,25.1,48.2,58.9,H
Votto, Joey,458015,2015,0.482,16.7,23.9,36.7,54.5,A
Coghlan, Chris,458085,2015,0.373,21.5,19.7,43.8,56.1,A
Rasmus, Colby,458675,2015,0.464,27.5,31.8,46.3,63.1,C
Gardner, Brett,458731,2015,0.367,21.8,21.2,37.4,52.3,B
Joyce, Matt,459964,2015,0.269,23.6,27.3,46.6,60.6,D
Hundley, Nick,460026,2015,0.413,24.6,22.3,50.7,64,A
